CP_Hotellist;
Grouped by Tier, URI and Query;
;
URI;Query
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=319&QueryDepDate=20180514&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=69&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181115&QueryDur=29&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&orderBy=LP
/boka-resa;QueryDepID=2793&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180924&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13,7&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=280&QueryDepDate=20180519&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180702&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,42,13&QueryUnits=0
/boka-resa;QueryDepID=2769&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180526&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180804&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190125&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180709&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42,12,14&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20180529&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180614&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,5,7&QueryUnits=0
/boka-resa;QueryDepID=2583&QueryCtryID=69&QueryAreaID=137&QueryResID=0&QueryDepDate=20190205&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42,2,7&QueryUnits=1
/boka-resa;QueryDepID=2583&QueryCtryID=65&QueryAreaID=0&QueryResID=163&QueryDepDate=20180918&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180426&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180703&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,15,13,10&QueryUnits=0
/boka-resa;QueryDepID=11937&QueryCtryID=65&QueryAreaID=0&QueryResID=278&QueryDepDate=20181224&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180503&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180612&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&orderBy=LP&selectedTransport=CgJWUxIDQVJOGgNUSVYgCCoECL6UAjICMzE6AUU%3D&firstDisplayed=CgJWUxIDQVJOGgNQTUkgCCoECLyUAjICMjI6AUU%3D
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180630&QueryDur=8&CategoryId=2&QueryRoomAges=|42,9&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=60&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180523&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2795&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180521&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C6%2C8&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180914&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,7,4&QueryUnits=1
/boka-resa;QueryDepID=11937&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180629&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42&QueryUnits=0&orderBy=LP
/boka-resa;QueryDepID=2779&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180613&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=0&QueryResID=325&QueryDepDate=20190412&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13,15&QueryUnits=1
/boka-resa;QueryDepID=2583&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180805&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=0&QueryResID=235&QueryDepDate=20181119&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2774&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180516&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C6%2C8&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180422&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C1&QueryUnits=1&selectedTransport=CgJWUxIDR09UGgNSSE8gCCoECOSTAjICNzE6AUU%3D
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=0&QueryResID=169&QueryDepDate=20180817&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C5%2C16&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=42720&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190120&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180715&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C3%2C5&QueryUnits=0&firstDisplayed=CgJWUxIDR09UGgNSSE8gCCoECP6UAjICNzE6AUU%3D&selectedTransport=CgJWUxIDR09UGgNKU0kgCCoECP6UAjICNzE6AUU%3D&filter=false&filterValue=price%3An31000%2Cpool
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=40753&QueryResID=0&QueryDepDate=20180617&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180630&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,4&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180518&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C5&QueryUnits=1&selectedTransport=CgJWUxIDQVJOGgNQTUkgCCoECIqUAjICNTE6AUU%3D&firstDisplayed=CgJWUxIDQVJOGgNLR1MgCCoECIqUAjICNTE6AUU%3D
/boka-resa;QueryDepID=2795&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181127&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=11&QueryAreaID=0&QueryResID=427&QueryDepDate=20181104&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180701&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,3,1&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=0&QueryResID=288&QueryDepDate=20180531&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180602&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C1&QueryUnits=1&orderBy=LP&filter=false&filterValue=r6%2Cr8%2Cr10%2Cb%2Cwifi%2Cdb%3An250%2Cbpool
/boka-resa;QueryDepID=11937&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180514&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,6,11&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180718&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,11,9&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=69&QueryAreaID=0&QueryResID=233&QueryDepDate=20190116&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&orderBy=LP
/boka-resa;QueryDepID=11937&QueryCtryID=32&QueryAreaID=0&QueryResID=267&QueryDepDate=20180617&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=32&QueryAreaID=0&QueryResID=61953&QueryDepDate=20180729&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181020&QueryDur=8&CategoryId=2&QueryRoomAges=|42,15&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=299&QueryDepDate=20180616&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&filter=false&filterValue=ai&orderBy=LP
/boka-resa;QueryDepID=2795&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180807&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=296&QueryDepDate=20190111&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42,42,42,12&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190124&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180601&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180912&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180420&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=11937&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180605&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C5&QueryUnits=0&selectedTransport=CgJWUxIDTU1BGgNQTUkgDyoECK6UAjICMjE6AUU%3D
/boka-resa;QueryDepID=11937&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180714&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,42,42,13&QueryUnits=0
/boka-resa;QueryDepID=2774&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180612&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=71&QueryAreaID=0&QueryResID=307&QueryDepDate=20180721&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,15&QueryUnits=1
